Type of crime,id,Year,Total cases,"Rate per 100,000 people"
Motorcycle Theft,Melaka,2017,1101,119.49
Van/Lorry Theft,Melaka,2017,27,2.93
Drug addicts,Melaka,2017,613,66.53
House break-ins,Melaka,2017,567,61.54
Murder,Negeri Sembilan,2017,14,1.24
Rape,Negeri Sembilan,2017,91,8.06
Armed Group Robbery,Negeri Sembilan,2017,2,0.18
Unarmed Group Robbery,Negeri Sembilan,2017,392,34.72
Armed Robbery,Negeri Sembilan,2017,0,0
Unarmed Robbery,Negeri Sembilan,2017,144,12.75
Harming,Negeri Sembilan,2017,241,21.34
Theft ( Others ),Negeri Sembilan,2017,1121,99.28
Car Theft,Negeri Sembilan,2017,170,15.06
Motorcycle Theft,Negeri Sembilan,2017,839,74.31
Van/Lorry Theft,Negeri Sembilan,2017,64,5.67
House break-ins,Negeri Sembilan,2017,895,79.27
Drug addicts,Negeri Sembilan,2017,1012,89.63
Murder,Pahang,2017,16,0.95
Rape,Pahang,2017,163,9.71
Armed Group Robbery,Pahang,2017,1,0.06
Unarmed Group Robbery,Pahang,2017,201,11.97
Armed Robbery,Pahang,2017,0,0
Unarmed Robbery,Pahang,2017,87,5.18
Harming,Pahang,2017,188,11.2
Theft ( Others ),Pahang,2017,712,42.41
Car Theft,Pahang,2017,216,12.86
Motorcycle Theft,Pahang,2017,1173,69.86
Van/Lorry Theft,Pahang,2017,56,3.34
House break-ins,Pahang,2017,794,47.29
Drug addicts,Pahang,2017,2088,124.35
Murder,Perak,2017,35,1.37
Rape,Perak,2017,95,3.73
Armed Group Robbery,Perak,2017,4,0.16
Unarmed Group Robbery,Perak,2017,426,16.72
Armed Robbery,Perak,2017,0,0
Unarmed Robbery,Perak,2017,200,7.85
Harming,Perak,2017,380,14.91
Theft ( Others ),Perak,2017,1013,39.75
Car Theft,Perak,2017,321,12.6
Motorcycle Theft,Perak,2017,1912,75.04
Van/Lorry Theft,Perak,2017,81,3.18
House break-ins,Perak,2017,859,33.71
Drug addicts,Perak,2017,1557,61.11
Murder,Perlis,2017,2,0.78
Rape,Perlis,2017,30,11.7
Armed Group Robbery,Perlis,2017,0,0
Unarmed Group Robbery,Perlis,2017,25,9.75
Armed Robbery,Perlis,2017,0,0
Unarmed Robbery,Perlis,2017,28,10.92
Harming,Perlis,2017,47,18.33
Theft ( Others ),Perlis,2017,182,70.98
Car Theft,Perlis,2017,11,4.29
Motorcycle Theft,Perlis,2017,186,72.54
Van/Lorry Theft,Perlis,2017,5,1.95
House break-ins,Perlis,2017,87,33.93
Drug addicts,Perlis,2017,654,255.07
Murder,Penang,2017,17,0.97
Rape,Penang,2017,80,4.58
Armed Group Robbery,Penang,2017,0,0
Unarmed Group Robbery,Penang,2017,481,27.54
Armed Robbery,Penang,2017,0,0
Unarmed Robbery,Penang,2017,225,12.88
Harming,Penang,2017,275,15.74
Theft ( Others ),Penang,2017,861,49.29
Car Theft,Penang,2017,357,20.44
Motorcycle Theft,Penang,2017,2322,132.94
Van/Lorry Theft,Penang,2017,65,3.72
House break-ins,Penang,2017,868,49.69
Drug addicts,Penang,2017,3844,220.07
Murder,Sabah,2017,36,0.91
Rape,Sabah,2017,211,5.34
Armed Group Robbery,Sabah,2017,0,0
Unarmed Group Robbery,Sabah,2017,163,4.12
Armed Robbery,Sabah,2017,0,0
Unarmed Robbery,Sabah,2017,121,3.06
Harming,Sabah,2017,230,5.82
Theft ( Others ),Sabah,2017,2541,64.28
Car Theft,Sabah,2017,244,6.17
Motorcycle Theft,Sabah,2017,666,16.85
Van/Lorry Theft,Sabah,2017,116,2.93
House break-ins,Sabah,2017,1908,48.27
Drug addicts,Sabah,2017,1139,28.82
Murder,Sarawak,2017,27,0.97
Rape,Sarawak,2017,150,5.38
Armed Group Robbery,Sarawak,2017,2,0.07
Unarmed Group Robbery,Sarawak,2017,238,8.53
Armed Robbery,Sarawak,2017,1,0.04
Unarmed Robbery,Sarawak,2017,90,3.23
Harming,Sarawak,2017,368,13.19
Theft ( Others ),Sarawak,2017,1284,46.03
Car Theft,Sarawak,2017,574,20.58
Motorcycle Theft,Sarawak,2017,2258,80.95
Van/Lorry Theft,Sarawak,2017,75,2.69
House break-ins,Sarawak,2017,1314,47.11
Drug addicts,Sarawak,2017,440,15.77
Murder,Selangor,2017,83,1.3
Rape,Selangor,2017,321,5.01
Armed Group Robbery,Selangor,2017,12,0.19
Unarmed Group Robbery,Selangor,2017,3747,58.54
Armed Robbery,Selangor,2017,2,0.03
Unarmed Robbery,Selangor,2017,1197,18.7
Harming,Selangor,2017,1108,17.31
Theft ( Others ),Selangor,2017,4091,63.91
Car Theft,Selangor,2017,2586,40.4
Motorcycle Theft,Selangor,2017,7945,124.12
Van/Lorry Theft,Selangor,2017,844,13.19
House break-ins,Selangor,2017,4133,64.57
Drug addicts,Selangor,2017,2375,37.1
Murder,Terengganu,2017,5,0.41
Rape,Terengganu,2017,64,5.24
Armed Group Robbery,Terengganu,2017,0,0
Unarmed Group Robbery,Terengganu,2017,79,6.47
Armed Robbery,Terengganu,2017,0,0
Unarmed Robbery,Terengganu,2017,76,6.22
Harming,Terengganu,2017,130,10.64
Theft ( Others ),Terengganu,2017,365,29.88
Car Theft,Terengganu,2017,146,11.95
Motorcycle Theft,Terengganu,2017,914,74.82
Van/Lorry Theft,Terengganu,2017,22,1.8
House break-ins,Terengganu,2017,456,37.33
Drug addicts,Terengganu,2017,2044,167.32
